Total Points,Max Abs Error,Max Residual,Max Boundary Residual
131,1.1570458702356073e-05,0.006248994334837776,2.5455541600993836e-06
132,1.1578716058044175e-05,0.006250698303712665,2.5401229135357806e-06
133,1.005986583910417e-05,0.0052082265403026184,2.3687533356877373e-06
134,6.322991633278541e-06,0.004795014821441512,3.005851844511964e-06
135,6.359492123908517e-06,0.005090653692997549,3.078600165656864e-06
136,6.4509590566030894e-06,0.005045306867443422,2.9880809303828304e-06
137,4.465575071662536e-06,0.00393962137061462,4.018822815520906e-06
138,5.158880624912625e-06,0.003729982581517355,3.099908235867189e-06
139,3.5453615077332343e-06,0.004342155044033791,1.3786576804180055e-06
140,3.5710780708344755e-06,0.004348639026199669,1.4264357179443192e-06
141,3.6411185491405304e-06,0.004282502682593739,1.4409908862830865e-06
142,3.2683921274462464e-06,0.004883465880936855,1.3364761463094486e-06
143,3.063512994231927e-06,0.0051413136297362855,1.4902279282821927e-06
144,3.0645610838470234e-06,0.005136180678279562,1.485994425844692e-06
145,3.1051149454492007e-06,0.0051148741569040646,1.372202354799068e-06
146,3.273017600783929e-06,0.0048375084550097425,1.4149218249941424e-06
147,3.2602199578385567e-06,0.004849545929472565,1.5589673185494534e-06
148,3.1582038254080076e-06,0.004846026211334661,1.674229060034027e-06
149,5.701251400942698e-06,0.0043677058331734395,2.8263763388487457e-06
150,2.7730113474938763e-06,0.002863811968531943,1.5104171560698099e-06
151,2.6772833584026885e-06,0.0028120459196444847,1.621557017827957e-06
152,2.6686279326931968e-06,0.00281140644448169,1.6297875078952195e-06
153,2.680625823374156e-06,0.0030325414346836777,1.8358802933993168e-06
154,3.086450342252873e-06,0.0033210593406259314,1.83794329028375e-06
155,1.9651878005455536e-06,0.001919869705158006,1.5370569344530516e-06
156,1.966882160753247e-06,0.0019247745035015779,1.5389198034232443e-06
157,1.8385347800298213e-06,0.002118591119957325,1.4246540065987467e-06
158,1.90272467609498e-06,0.0021536967414540475,1.3759626128611322e-06
159,1.4586898991475472e-06,0.0017716740206471376,1.251111157464708e-06
160,1.4554801395783024e-06,0.0017573169169687042,1.2440763642722905e-06
161,1.5169067011933102e-06,0.0017816530151651688,1.1007241568344048e-06
162,9.406469857475841e-07,0.00145232622027347,8.954506910534852e-07
163,9.442970206885448e-07,0.001483881877055282,9.334095569477627e-07
164,9.430690696143884e-07,0.0014833457495653235,9.298158023205447e-07
165,9.790287563982147e-07,0.0015158310544549636,8.905349366492574e-07
166,9.946698847906887e-07,0.0015441680888681475,7.746759502444975e-07
167,9.914503650287898e-07,0.0015099238718017105,8.040828254016761e-07
168,9.900631013914918e-07,0.0015014759005467226,8.048767423338718e-07
169,9.164945021788995e-07,0.0014948564545704812,6.030887942052318e-07
170,9.364325578298249e-07,0.0015853860295109712,6.793437130290245e-07
171,9.224711480237957e-07,0.0015638402723858746,5.846242334541592e-07
172,9.194389797659991e-07,0.0015695631160452805,6.065541788693259e-07
173,9.604422382958333e-07,0.0015392869996384562,8.130773880701077e-07
174,9.214528072509776e-07,0.0016937088295296832,6.608991607173016e-07
175,8.133783352126667e-07,0.0016427815347332952,6.006195762821938e-07
176,8.102595712988769e-07,0.0016312134668901024,3.5424773547204635e-07
177,8.076495151276841e-07,0.001577003264732646,3.529352376694392e-07
178,8.53695787700337e-07,0.001572430308672601,4.079172512780902e-07
179,7.961242934617641e-07,0.0015374202861826447,3.572325567510748e-07
180,7.966258806779702e-07,0.0015379770108507884,3.5704263045416296e-07
181,5.01523193458149e-07,0.0010777366110206188,2.748012497000296e-07
182,4.6325772177797236e-07,0.0010661113225634011,2.751137588297148e-07
183,4.3512672957563697e-07,0.0010630675041243265,2.662054500723876e-07
184,4.3489948757264446e-07,0.0010634410566394692,2.659563231310891e-07
185,2.4563649455439096e-07,0.0010620739622329012,2.521855955311958e-07
186,2.6515197930083306e-07,0.0010662482158414477,2.4077675188360903e-07
187,2.2970473375488742e-07,0.0010399556370144225,2.4338702477033625e-07
188,2.3050640004379508e-07,0.001033788254765966,2.442818822917525e-07
189,2.688887012491925e-07,0.0010248330260349547,2.84629905880629e-07
190,2.408021180996811e-07,0.0010317300526736517,2.5646430092118866e-07
191,2.2754740876956836e-07,0.0010337594899212377,2.347398671137535e-07
192,2.2791547701211945e-07,0.001033845347843787,2.3528403982064905e-07
193,2.293039325848567e-07,0.0010350603626632093,2.3680859807806431e-07
194,2.434336077924981e-07,0.0010305747188796843,2.550020768016248e-07
195,2.4246293003210573e-07,0.0010281825837488157,2.5487273137836386e-07
196,2.42511229174569e-07,0.0010281828513800662,2.549876989693667e-07
197,1.984786968875496e-07,0.0010377009977835527,2.0212807828878798e-07
198,4.235878294234219e-07,0.0010005824895795712,4.2412586477580394e-07
199,3.7943974867671315e-07,0.0009989853608685095,3.8010100635033073e-07
200,3.802237544259235e-07,0.0009990585645995864,3.8084532828774886e-07
201,4.3424219427402487e-07,0.0010722322383260874,4.342599083642564e-07
202,5.419662852548346e-07,0.001034317006472385,5.417287350801539e-07
203,4.976472656894704e-07,0.0010219923054810565,4.971291275175085e-07
204,5.066103501862973e-07,0.001021894496062714,5.060423301379282e-07
205,5.394277665262781e-07,0.0010541938328874068,5.388816258650999e-07
206,3.242802100941744e-07,0.0007799342170198287,3.312601193489195e-07
207,3.022850459546522e-07,0.000410377913660831,3.0267365001954063e-07
208,3.0209109709767755e-07,0.00041017051591385467,3.0248359937765004e-07
209,5.433028560930531e-07,0.0005017662874138296,5.42575476270013e-07
210,4.6538837766840757e-07,0.0005083398803140682,4.645000314940084e-07
